coachID,seasons,teams,games,avg_overach_pythag,avg_overach_roster,eb_career_win_pct,consistency_sd,trend,career_po_win_pct,coy_awards
dailesh99w,2,1,20,0.16487546942389011,0.0010205874092467592,0.4820121427791044,0.11251969145773612,-0.15912687369356643,,0
weisery99w,1,1,14,0.140928415386133,0.2405889974263682,0.5839303272931592,0.0,0.0,0.3333333333333333,0
bryanjo01w,2,1,40,0.13963738868754677,0.143424556043954,0.6220088609469141,0.04074648538696602,-0.057624232253284474,0.2,0
coopecy01w,2,1,42,0.10646415538836224,0.005917645958309585,0.4740612593430479,0.20597675685651654,0.2912951230801111,,0
rollitr01w,2,1,52,0.09249176566375963,-0.022660727826893188,0.4770773919775772,0.0059632159343278495,0.008433260849685788,,0
harveca99w,3,2,73,0.075580045930085,0.024547335023555477,0.5329780907483331,0.1154682895614818,-0.10859179305258503,0.2,0
adamsmi01w,1,1,34,0.0672512126986993,0.0265456270224986,0.5004214075010536,0.0,0.0,0.3333333333333333,0
rothsro99w,3,1,96,0.06521128595879506,0.10727208570153075,0.5002204285390126,0.05623873886437142,-0.052875890560380216,0.3333333333333333,0
coopemi01w,8,1,252,0.05021067036818041,0.09840817208962295,0.6434568381471036,0.05889364860485811,-0.01871291289128403,0.6521164021164022,1
thompka99w,3,2,82,0.045124628210016685,-0.003956929034556552,0.5002470319833762,0.07007720551532157,-0.04701810642149979,0.3333333333333333,0
liebena01w,1,1,32,0.043713097773164,-0.0624324711742917,0.4701311471222976,0.0,0.0,,0
coylepa99w,6,1,171,0.040304778905030376,0.020368121849796594,0.4781885644393738,0.09808743570025004,-0.0393500612407371,0.30833333333333335,0
mahorri01w,1,1,31,0.0402307144756624,-0.0011404620018591,0.5235177801549483,0.0,0.0,0.6,0
mcconsu01w,4,1,125,0.039913429756665876,0.00619331504000175,0.47816764597529327,0.04222188011667225,0.017765596708864836,0.16666666666666666,1
laimbbi01w,8,1,229,0.03201767452736543,0.05850408541755713,0.5856602878709948,0.08094132575263784,-0.025064267798207408,0.5177609427609428,1
gaineco01w,2,1,68,0.019373437719216652,-0.12957463473893494,0.5493005461771729,0.07026146798319934,0.09936472093408348,0.6363636363636364,0
wintebr01w,4,1,136,0.013129156439694978,0.10835318504918241,0.5589920924121861,0.039237770985911496,-0.00873051694901107,0.3333333333333333,0
westhpa99w,2,1,68,0.01152747365370895,-0.08750559236770042,0.5689083893144279,0.07986771560301602,0.11295000660154247,0.7777777777777778,0
plankju99w,1,1,34,0.008885148427439,-0.0659994714623173,0.48571552514811234,0.0,0.0,0.0,0
peckca99wc,2,1,64,0.00835211404482355,-0.01981992689404085,0.46968016030685344,0.03112594404205082,-0.044018732205934295,0.3333333333333333,0
dunntr01wc,1,1,32,0.0073834794344221,-0.2144522573347397,0.37922205621320665,0.0,0.0,,0
darscna99w,1,1,20,0.0050428992316788,-0.028296539412182,0.4820121427791044,0.0,0.0,,0
gilloje01w,1,1,34,0.0039776003399222,-0.1428007321243724,0.45630376044223,0.0,0.0,,0
hargrli99w,3,1,96,0.002328950796442767,-0.03299853507921463,0.415605043923628,0.03176132142604298,0.027237008059880503,,0
overtbo99w,1,1,34,0.001220484049942,-0.1531339061016116,0.45630376044223,0.0,0.0,,0
maherto99w,1,1,32,0.0010956362105692,-0.0539049868268901,0.409525086516237,0.0,0.0,,0
willifr99w,2,1,45,0.0010143056664039078,-0.05934784569840485,0.5066918444312866,0.13404485555428505,-0.18956805269121235,,0
bouceje01w,3,1,81,-0.002901718781055168,-0.058752306506721516,0.49590135400062296,0.1298785155502667,-0.09836785790066044,0.3333333333333333,0
dunnli99wc,5,2,164,-0.0033612011339289065,-0.0054328825590637606,0.4496396753033921,0.051993628838029625,-0.0033810116778051607,0.3111111111111111,0
laceytr99w,3,1,92,-0.00388482656685887,0.003197223748758073,0.4287988548418384,0.08989386082462204,-0.057061011027072964,0.0,0
thibami99w,7,1,238,-0.004044569426972889,0.026082062248058008,0.5883406459929104,0.037541610115468846,-0.013522105624762982,0.5027777777777779,2
aglerbr99w,5,2,151,-0.004900303287641144,0.03093904831116733,0.4974521930274142,0.04331532837178791,0.018389006421833293,0.3333333333333333,0
whisejo99w,5,1,139,-0.006212830516777352,0.10578802506095969,0.5897610156651539,0.0815619399032497,-0.02550271916918258,0.6354166666666666,1
keyst99wc,2,1,68,-0.0073632309502102,-0.1250464342138717,0.441457408922271,0.13944065916624168,0.19719887133914318,,0
mchugma99w,3,1,70,-0.008058461603602175,-0.02020329146964522,0.5002755356737658,0.15549370466542875,-0.11435974459111166,0.6,0
bibbyhe01w,1,1,28,-0.0137629662781136,-0.0189061098576264,0.4843331566140587,0.0,0.0,,0
adubari99w,8,2,218,-0.016377845428098527,0.03805103299557103,0.5278914909129827,0.15802211353420062,-0.04052119011918633,0.39285714285714285,0
chancva99w,7,1,232,-0.018476143533158112,0.13120488072125827,0.5903332921431265,0.03637723413666266,-0.005031846969923001,0.3444444444444444,0
hugheda99w,9,2,300,-0.02098818296254357,0.015019973607698866,0.4851157356588971,0.05611921525305411,0.015085421043066,0.3907407407407408,2
cowenda01w,1,1,34,-0.0241957810404295,-0.3254648425029071,0.3239508192657594,0.0,0.0,,0
stanlma99w,2,1,66,-0.025234135202059246,-0.08636759720872457,0.4302865571007164,0.04442784317501149,-0.06283045836508619,0.6,1
fortnne99w,3,1,98,-0.026774698990193954,-0.009811015500256171,0.4471867856823609,0.05935397254112662,0.01194798648879915,0.3333333333333333,0
walkeda01w,1,1,12,-0.0282904341016544,-0.0616298727455154,0.47888381978416605,0.0,0.0,0.0,0
boguemu01w,2,1,44,-0.02838012215716941,-0.1751209153826004,0.3978032783342518,0.0839759901125666,-0.1187599841309006,,0
brownde01w,2,2,58,-0.032884374895930886,-0.11227496735121961,0.4242245185877352,0.05376064023545927,-0.07602902654284718,,0
millech99w,1,1,32,-0.0434515171705466,0.1579892883975728,0.5610402380313885,0.0,0.0,0.0,0
sharpli99w,1,1,22,-0.04432397594454,-0.1957951163654805,0.393368851965565,0.0,0.0,,0
grafca99wc,2,1,68,-0.0571094556858803,-0.0016923765985291498,0.4904770167654082,0.02783370975601207,0.03936280982810858,,0
meadoma99w,2,1,68,-0.05748230272731371,-0.24925460934020538,0.38263387951050626,0.036927805438268325,0.052223803279474,0.0,1
vandehe99w,1,1,13,-0.062521946412149,-0.055001255494496,0.44741820659726894,0.0,0.0,,0
shumajo01w,1,1,34,-0.0628526453766324,-0.1722337899142829,0.36806846632458295,0.0,0.0,,0
donovan99w,9,4,283,-0.06643351748061696,-0.003958630873674657,0.5111314060254626,0.04299020017983823,0.0022069433827112362,0.3194444444444444,0
willigr99w,2,1,42,-0.07117477023536134,-0.18408748411624548,0.35564020671146895,0.23171357581326063,-0.32769248150107955,,0
allenso99w,2,1,44,-0.07350457322334426,0.0035555019024119546,0.5644699450009184,0.10391917206243922,-0.14696390252128474,0.0,0
zierddo99w,2,1,68,-0.0831048685521922,-0.19724096889870948,0.4218495657850161,0.012095620991293674,0.017105791251212223,,0
kenlaje99w,1,1,12,-0.0996125885080416,-0.2806426114931428,0.41366642847981827,0.0,0.0,,0
jenkica99w,1,1,11,-0.20405941669514,-0.4263181914814542,0.40063679355714754,0.0,0.0,,0
