coachID,year,tmID,confID,name,won,lost,games,win_pct_season,last1_win_pct,last3_win_pct,last5_win_pct,career_wins_to_date,career_losses_to_date,career_games_to_date,career_win_pct_to_date,tenure_with_team,post_wins,post_losses,playoff_games,playoff_win_pct_season
adubari99w,1,NYL,EA,New York Liberty,20,12,32.0,0.625,,,,0.0,0.0,0.0,,1,4,3,7.0,0.5714285714285714
aglerbr99w,1,MIN,WE,Minnesota Lynx,15,17,32.0,0.46875,,,,0.0,0.0,0.0,,1,0,0,0.0,
allenso99w,1,SAC,WE,Sacramento Monarchs,21,11,32.0,0.65625,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
chancva99w,1,HOU,WE,Houston Comets,27,5,32.0,0.84375,,,,0.0,0.0,0.0,,1,6,0,6.0,1.0
coopemi01w,1,LAS,WE,Los Angeles Sparks,28,4,32.0,0.875,,,,0.0,0.0,0.0,,1,2,2,4.0,0.5
darscna99w,1,WAS,EA,Washington Mystics,9,11,20.0,0.45,,,,0.0,0.0,0.0,,1,0,0,0.0,
donovan99w,1,IND,EA,Indiana Fever,9,23,32.0,0.28125,,,,0.0,0.0,0.0,,1,0,0,0.0,
dunnli99wc,1,SEA,WE,Seattle Storm,6,26,32.0,0.1875,,,,0.0,0.0,0.0,,1,0,0,0.0,
dunntr01wc,1,CHA,EA,Charlotte Sting,8,24,32.0,0.25,,,,0.0,0.0,0.0,,1,0,0,0.0,
hargrli99w,1,POR,WE,Portland Fire,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
hugheda99w,1,CLE,EA,Cleveland Rockers,17,15,32.0,0.53125,,,,0.0,0.0,0.0,,1,3,3,6.0,0.5
liebena01w,1,DET,EA,Detroit Shock,14,18,32.0,0.4375,,,,0.0,0.0,0.0,,1,0,0,0.0,
millech99w,1,PHO,WE,Phoenix Mercury,20,12,32.0,0.625,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
peckca99wc,1,ORL,EA,Orlando Miracle,16,16,32.0,0.5,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
rothsro99w,1,MIA,EA,Miami Sol,13,19,32.0,0.40625,,,,0.0,0.0,0.0,,1,0,0,0.0,
walkeda01w,1,WAS,EA,Washington Mystics,5,7,12.0,0.4166666666666667,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
willifr99w,1,UTA,WE,Utah Starzz,18,14,32.0,0.5625,,,,0.0,0.0,0.0,,1,0,0,0.0,
adubari99w,2,NYL,EA,New York Liberty,21,11,32.0,0.65625,0.625,0.625,0.625,20.0,12.0,32.0,0.625,2,3,3,6.0,0.5
aglerbr99w,2,MIN,WE,Minnesota Lynx,12,20,32.0,0.375,0.46875,0.46875,0.46875,15.0,17.0,32.0,0.46875,2,0,0,0.0,
allenso99w,2,SAC,WE,Sacramento Monarchs,6,6,12.0,0.5,0.65625,0.65625,0.65625,21.0,11.0,32.0,0.65625,2,0,0,0.0,
chancva99w,2,HOU,WE,Houston Comets,19,13,32.0,0.59375,0.84375,0.84375,0.84375,27.0,5.0,32.0,0.84375,2,0,2,2.0,0.0
coopecy01w,2,PHO,WE,Phoenix Mercury,13,19,32.0,0.40625,,,,0.0,0.0,0.0,,1,0,0,0.0,
coopemi01w,2,LAS,WE,Los Angeles Sparks,28,4,32.0,0.875,0.875,0.875,0.875,28.0,4.0,32.0,0.875,2,6,1,7.0,0.8571428571428571
donovan99w,2,CHA,EA,Charlotte Sting,18,14,32.0,0.5625,0.28125,0.28125,0.28125,9.0,23.0,32.0,0.28125,1,4,4,8.0,0.5
dunnli99wc,2,SEA,WE,Seattle Storm,10,22,32.0,0.3125,0.1875,0.1875,0.1875,6.0,26.0,32.0,0.1875,2,0,0,0.0,
fortnne99w,2,IND,EA,Indiana Fever,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
hargrli99w,2,POR,WE,Portland Fire,11,21,32.0,0.34375,0.3125,0.3125,0.3125,10.0,22.0,32.0,0.3125,2,0,0,0.0,
harveca99w,2,UTA,WE,Utah Starzz,14,5,19.0,0.7368421052631579,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
hugheda99w,2,CLE,EA,Cleveland Rockers,22,10,32.0,0.6875,0.53125,0.53125,0.53125,17.0,15.0,32.0,0.53125,2,1,2,3.0,0.3333333333333333
maherto99w,2,WAS,EA,Washington Mystics,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
mchugma99w,2,SAC,WE,Sacramento Monarchs,14,6,20.0,0.7,,,,0.0,0.0,0.0,,1,3,2,5.0,0.6
peckca99wc,2,ORL,EA,Orlando Miracle,13,19,32.0,0.40625,0.5,0.5,0.5,16.0,16.0,32.0,0.5,2,0,0,0.0,
rothsro99w,2,MIA,EA,Miami Sol,20,12,32.0,0.625,0.40625,0.40625,0.40625,13.0,19.0,32.0,0.40625,2,1,2,3.0,0.3333333333333333
willifr99w,2,UTA,WE,Utah Starzz,5,8,13.0,0.38461538461538464,0.5625,0.5625,0.5625,18.0,14.0,32.0,0.5625,2,0,0,0.0,
willigr99w,2,DET,EA,Detroit Shock,10,22,32.0,0.3125,,,,0.0,0.0,0.0,,1,0,0,0.0,
adubari99w,3,NYL,EA,New York Liberty,18,14,32.0,0.5625,0.65625,0.640625,0.640625,41.0,23.0,64.0,0.640625,3,4,4,8.0,0.5
aglerbr99w,3,MIN,WE,Minnesota Lynx,6,13,19.0,0.3157894736842105,0.375,0.421875,0.421875,27.0,37.0,64.0,0.421875,3,0,0,0.0,
brownde01w,3,ORL,EA,Orlando Miracle,16,16,32.0,0.5,,,,0.0,0.0,0.0,,1,0,0,0.0,
chancva99w,3,HOU,WE,Houston Comets,24,8,32.0,0.75,0.59375,0.71875,0.71875,46.0,18.0,64.0,0.71875,3,1,2,3.0,0.3333333333333333
coopecy01w,3,PHO,WE,Phoenix Mercury,6,4,10.0,0.6,0.40625,0.40625,0.40625,13.0,19.0,32.0,0.40625,2,0,0,0.0,
coopemi01w,3,LAS,WE,Los Angeles Sparks,25,7,32.0,0.78125,0.875,0.875,0.875,56.0,8.0,64.0,0.875,3,6,0,6.0,1.0
donovan99w,3,CHA,EA,Charlotte Sting,18,14,32.0,0.5625,0.5625,0.421875,0.421875,27.0,37.0,64.0,0.421875,2,0,2,2.0,0.0
dunnli99wc,3,SEA,WE,Seattle Storm,17,15,32.0,0.53125,0.3125,0.25,0.25,16.0,48.0,64.0,0.25,3,0,2,2.0,0.0
fortnne99w,3,IND,EA,Indiana Fever,16,16,32.0,0.5,0.3125,0.3125,0.3125,10.0,22.0,32.0,0.3125,2,1,2,3.0,0.3333333333333333
hargrli99w,3,POR,WE,Portland Fire,16,16,32.0,0.5,0.34375,0.328125,0.328125,21.0,43.0,64.0,0.328125,3,0,0,0.0,
harveca99w,3,UTA,WE,Utah Starzz,20,12,32.0,0.625,0.7368421052631579,0.7368421052631579,0.7368421052631579,14.0,5.0,19.0,0.7368421052631579,2,2,3,5.0,0.4
hugheda99w,3,CLE,EA,Cleveland Rockers,10,22,32.0,0.3125,0.6875,0.609375,0.609375,39.0,25.0,64.0,0.609375,3,0,0,0.0,
laimbbi01w,3,DET,EA,Detroit Shock,9,13,22.0,0.4090909090909091,,,,0.0,0.0,0.0,,1,0,0,0.0,
mchugma99w,3,SAC,WE,Sacramento Monarchs,14,18,32.0,0.4375,0.7,0.7,0.7,14.0,6.0,20.0,0.7,2,0,0,0.0,
rothsro99w,3,MIA,EA,Miami Sol,15,17,32.0,0.46875,0.625,0.515625,0.515625,33.0,31.0,64.0,0.515625,3,0,0,0.0,
sharpli99w,3,PHO,WE,Phoenix Mercury,5,17,22.0,0.22727272727272727,,,,0.0,0.0,0.0,,1,0,0,0.0,
stanlma99w,3,WAS,EA,Washington Mystics,17,15,32.0,0.53125,,,,0.0,0.0,0.0,,1,3,2,5.0,0.6
vandehe99w,3,MIN,WE,Minnesota Lynx,4,9,13.0,0.3076923076923077,,,,0.0,0.0,0.0,,1,0,0,0.0,
willigr99w,3,DET,EA,Detroit Shock,0,10,10.0,0.0,0.3125,0.3125,0.3125,10.0,22.0,32.0,0.3125,2,0,0,0.0,
adubari99w,4,NYL,EA,New York Liberty,16,18,34.0,0.47058823529411764,0.5625,0.6145833333333334,0.6145833333333334,59.0,37.0,96.0,0.6145833333333334,4,0,0,0.0,
chancva99w,4,HOU,WE,Houston Comets,20,14,34.0,0.5882352941176471,0.75,0.7291666666666666,0.7291666666666666,70.0,26.0,96.0,0.7291666666666666,4,1,2,3.0,0.3333333333333333
coopemi01w,4,LAS,WE,Los Angeles Sparks,24,10,34.0,0.7058823529411765,0.78125,0.84375,0.84375,81.0,15.0,96.0,0.84375,4,5,4,9.0,0.5555555555555556
dailesh99w,4,SAS,WE,San Antonio Silver Stars,6,6,12.0,0.5,,,,0.0,0.0,0.0,,1,0,0,0.0,
donovan99w,4,SEA,WE,Seattle Storm,18,16,34.0,0.5294117647058824,0.5625,0.46875,0.46875,45.0,51.0,96.0,0.46875,1,0,0,0.0,
fortnne99w,4,IND,EA,Indiana Fever,16,18,34.0,0.47058823529411764,0.5,0.40625,0.40625,26.0,38.0,64.0,0.40625,3,0,0,0.0,
harveca99w,4,SAS,WE,San Antonio Silver Stars,6,16,22.0,0.2727272727272727,0.625,0.680921052631579,0.680921052631579,34.0,17.0,51.0,0.6666666666666666,1,0,0,0.0,
hugheda99w,4,CLE,EA,Cleveland Rockers,17,17,34.0,0.5,0.3125,0.5104166666666666,0.5104166666666666,49.0,47.0,96.0,0.5104166666666666,4,1,2,3.0,0.3333333333333333
laceytr99w,4,CHA,EA,Charlotte Sting,18,16,34.0,0.5294117647058824,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
laimbbi01w,4,DET,EA,Detroit Shock,25,9,34.0,0.7352941176470589,0.4090909090909091,0.4090909090909091,0.4090909090909091,9.0,13.0,22.0,0.4090909090909091,2,6,2,8.0,0.75
mcconsu01w,4,MIN,WE,Minnesota Lynx,18,16,34.0,0.5294117647058824,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
mchugma99w,4,SAC,WE,Sacramento Monarchs,7,11,18.0,0.3888888888888889,0.4375,0.56875,0.56875,28.0,24.0,52.0,0.5384615384615384,3,0,0,0.0,
shumajo01w,4,PHO,WE,Phoenix Mercury,8,26,34.0,0.23529411764705882,,,,0.0,0.0,0.0,,1,0,0,0.0,
stanlma99w,4,WAS,EA,Washington Mystics,9,25,34.0,0.2647058823529412,0.53125,0.53125,0.53125,17.0,15.0,32.0,0.53125,2,0,0,0.0,
thibami99w,4,CON,EA,Connecticut Sun,18,16,34.0,0.5294117647058824,,,,0.0,0.0,0.0,,1,2,2,4.0,0.5
whisejo99w,4,SAC,WE,Sacramento Monarchs,12,4,16.0,0.75,,,,0.0,0.0,0.0,,1,3,3,6.0,0.5
adamsmi01w,5,WAS,EA,Washington Mystics,17,17,34.0,0.5,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
adubari99w,5,NYL,EA,New York Liberty,7,9,16.0,0.4375,0.47058823529411764,0.5631127450980392,0.5785845588235294,75.0,55.0,130.0,0.5769230769230769,5,0,0,0.0,
brownde01w,5,SAS,WE,San Antonio Silver Stars,6,20,26.0,0.23076923076923078,0.5,0.5,0.5,16.0,16.0,32.0,0.5,1,0,0,0.0,
chancva99w,5,HOU,WE,Houston Comets,13,21,34.0,0.38235294117647056,0.5882352941176471,0.6439950980392157,0.6939338235294118,90.0,40.0,130.0,0.6923076923076923,5,0,0,0.0,
coopemi01w,5,LAS,WE,Los Angeles Sparks,14,6,20.0,0.7,0.7058823529411765,0.7873774509803922,0.8092830882352942,105.0,25.0,130.0,0.8076923076923077,5,0,0,0.0,
coylepa99w,5,NYL,EA,New York Liberty,11,7,18.0,0.6111111111111112,,,,0.0,0.0,0.0,,1,2,3,5.0,0.4
dailesh99w,5,SAS,WE,San Antonio Silver Stars,3,5,8.0,0.375,0.5,0.5,0.5,6.0,6.0,12.0,0.5,2,0,0,0.0,
donovan99w,5,SEA,WE,Seattle Storm,20,14,34.0,0.5882352941176471,0.5294117647058824,0.551470588235294,0.48391544117647056,63.0,67.0,130.0,0.4846153846153846,2,6,2,8.0,0.75
grafca99wc,5,PHO,WE,Phoenix Mercury,17,17,34.0,0.5,,,,0.0,0.0,0.0,,1,0,0,0.0,
laceytr99w,5,CHA,EA,Charlotte Sting,16,18,34.0,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.5294117647058824,18.0,16.0,34.0,0.5294117647058824,2,0,0,0.0,
laimbbi01w,5,DET,EA,Detroit Shock,17,17,34.0,0.5,0.7352941176470589,0.572192513368984,0.572192513368984,34.0,22.0,56.0,0.6071428571428571,3,1,2,3.0,0.3333333333333333
mcconsu01w,5,MIN,WE,Minnesota Lynx,18,16,34.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,18.0,16.0,34.0,0.5294117647058824,2,0,2,2.0,0.0
thibami99w,5,CON,EA,Connecticut Sun,18,16,34.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,18.0,16.0,34.0,0.5294117647058824,2,5,3,8.0,0.625
thompka99w,5,LAS,WE,Los Angeles Sparks,11,3,14.0,0.7857142857142857,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
weisery99w,5,LAS,WE,Los Angeles Sparks,11,3,14.0,0.7857142857142857,,,,0.0,0.0,0.0,,1,1,2,3.0,0.3333333333333333
whisejo99w,5,SAC,WE,Sacramento Monarchs,18,16,34.0,0.5294117647058824,0.75,0.75,0.75,12.0,4.0,16.0,0.75,2,3,3,6.0,0.5
wintebr01w,5,IND,EA,Indiana Fever,15,19,34.0,0.4411764705882353,,,,0.0,0.0,0.0,,1,0,0,0.0,
adubari99w,6,WAS,EA,Washington Mystics,16,18,34.0,0.47058823529411764,0.4375,0.4901960784313726,0.5503676470588236,82.0,64.0,146.0,0.5616438356164384,1,0,0,0.0,
bibbyhe01w,6,LAS,WE,Los Angeles Sparks,13,15,28.0,0.4642857142857143,,,,0.0,0.0,0.0,,1,0,0,0.0,
boguemu01w,6,CHA,EA,Charlotte Sting,3,7,10.0,0.3,,,,0.0,0.0,0.0,,1,0,0,0.0,
bryanjo01w,6,LAS,WE,Los Angeles Sparks,4,2,6.0,0.6666666666666666,,,,0.0,0.0,0.0,,1,0,2,2.0,0.0
chancva99w,6,HOU,WE,Houston Comets,19,15,34.0,0.5588235294117647,0.38235294117647056,0.573529411764706,0.6316176470588235,103.0,61.0,164.0,0.6280487804878049,6,2,3,5.0,0.4
